TRANSACTION_ID,PRODUCT_ID,CUSTOMER_ID,STORE_ID,T_DATE,QUANTITY
586,P-1043,C-30,S-9,2023-12-31,10
156,P-1059,C-12,S-6,2023-12-31,7
733,P-1022,C-37,S-4,2023-12-31,8
1046,P-1015,C-23,S-6,2023-12-31,9
1422,P-1090,C-36,S-8,2023-12-31,6
2425,P-1016,C-46,S-2,2023-12-31,4
2483,P-1066,C-32,S-6,2023-12-31,8
2587,P-1062,C-47,S-3,2023-12-31,5
3265,P-1006,C-12,S-9,2023-12-31,5
3283,P-1067,C-40,S-9,2023-12-31,5
3853,P-1018,C-44,S-6,2023-12-31,8
5496,P-1048,C-34,S-4,2023-12-31,7
6376,P-1064,C-50,S-3,2023-12-31,9
5692,P-1097,C-19,S-7,2023-12-31,5
5842,P-1081,C-26,S-1,2023-12-31,8
6641,P-1094,C-32,S-2,2023-12-31,1
6675,P-1084,C-15,S-6,2023-12-31,3
6724,P-1057,C-47,S-5,2023-12-31,10
7270,P-1035,C-43,S-4,2023-12-31,4
8452,P-1065,C-17,S-10,2023-12-31,2
8059,P-1022,C-31,S-2,2023-12-31,5
9421,P-1019,C-43,S-6,2023-12-31,4
9574,P-1086,C-7,S-2,2023-12-31,4
9579,P-1020,C-18,S-6,2023-12-31,8
9593,P-1080,C-48,S-7,2023-12-31,8
8847,P-1035,C-1,S-5,2023-12-31,9
9289,P-1077,C-2,S-5,2023-12-31,2
9814,P-1095,C-36,S-3,2023-12-31,2
194,P-1086,C-30,S-6,2023-12-30,5
296,P-1003,C-25,S-1,2023-12-30,6
674,P-1050,C-43,S-1,2023-12-30,4
684,P-1037,C-3,S-7,2023-12-30,5
803,P-1036,C-9,S-1,2023-12-30,4
2454,P-1081,C-8,S-2,2023-12-30,2
2613,P-1092,C-39,S-6,2023-12-30,2
1811,P-1047,C-14,S-4,2023-12-30,6
2060,P-1092,C-6,S-3,2023-12-30,7
2207,P-1024,C-12,S-5,2023-12-30,1
2265,P-1048,C-11,S-10,2023-12-30,3
3625,P-1019,C-43,S-6,2023-12-30,1
3050,P-1053,C-8,S-5,2023-12-30,10
3096,P-1000,C-13,S-9,2023-12-30,4
3336,P-1092,C-36,S-5,2023-12-30,6
4479,P-1047,C-13,S-4,2023-12-30,9
4492,P-1085,C-19,S-2,2023-12-30,5
3841,P-1089,C-30,S-9,2023-12-30,10
3868,P-1095,C-46,S-4,2023-12-30,6
4239,P-1000,C-22,S-10,2023-12-30,9
4769,P-1063,C-44,S-6,2023-12-30,6
5063,P-1086,C-48,S-9,2023-12-30,2
5255,P-1080,C-40,S-6,2023-12-30,9
5270,P-1095,C-47,S-8,2023-12-30,7
5870,P-1073,C-20,S-5,2023-12-30,2
5894,P-1011,C-30,S-4,2023-12-30,9
